9,16,Sat,2020-08-01,09:00,itz,png
9,16,Sat,2020-08-01,10:00,kbm,san
9,16,Sat,2020-08-01,11:00,fla,fur
9,16,Sat,2020-08-01,12:00,vk,prg
9,16,Sun,2020-08-02,09:00,fur,kbm
9,16,Sun,2020-08-02,10:00,prg,fla
9,16,Sun,2020-08-02,11:00,san,itz
9,16,Sun,2020-08-02,12:00,png,vk
10,16,Fri,2020-08-07,09:00,itz,prg
10,16,Fri,2020-08-07,10:00,kbm,png
10,16,Fri,2020-08-07,11:00,fla,vk
10,16,Fri,2020-08-07,12:00,san,fur
10,16,Sat,2020-08-08,09:00,kbm,fla
10,16,Sat,2020-08-08,10:00,vk,itz
10,16,Sat,2020-08-08,11:00,prg,san
10,16,Sat,2020-08-08,12:00,png,fur
10,16,Sun,2020-08-09,09:00,fur,vk
10,16,Sun,2020-08-09,10:00,png,prg
10,16,Sun,2020-08-09,11:00,itz,kbm
10,16,Sun,2020-08-09,12:00,fla,san
