4,3,Fri,2020-07-03,vit,xl
4,3,Fri,2020-07-03,mad,s04
4,3,Fri,2020-07-03,fnc,sk
4,3,Fri,2020-07-03,rge,og
4,3,Fri,2020-07-03,msf,g2
4,3,Sat,2020-07-04,rge,sk
4,3,Sat,2020-07-04,vit,og
4,3,Sat,2020-07-04,msf,mad
4,3,Sat,2020-07-04,fnc,s04
4,3,Sat,2020-07-04,g2,xl
5,3,Fri,2020-07-17,sk,s04
5,3,Fri,2020-07-17,rge,xl
5,3,Fri,2020-07-17,vit,fnc
5,3,Fri,2020-07-17,msf,og
5,3,Fri,2020-07-17,g2,mad
5,3,Sat,2020-07-18,vit,sk
5,3,Sat,2020-07-18,rge,s04
5,3,Sat,2020-07-18,mad,xl
5,3,Sat,2020-07-18,msf,fnc
5,3,Sat,2020-07-18,g2,og
6,3,Fri,2020-07-24,sk,xl
6,3,Fri,2020-07-24,vit,og
6,3,Fri,2020-07-24,g2,s04
6,3,Fri,2020-07-24,msf,rge
6,3,Fri,2020-07-24,fnc,mad
6,3,Sat,2020-07-25,vit,xl
6,3,Sat,2020-07-25,msf,s04
6,3,Sat,2020-07-25,g2,rge
6,3,Sat,2020-07-25,mad,sk
6,3,Sat,2020-07-25,fnc,og
7,3,Fri,2020-07-31,msf,sk
7,3,Fri,2020-07-31,s04,xl
7,3,Fri,2020-07-31,mad,og
7,3,Fri,2020-07-31,vit,g2
7,3,Fri,2020-07-31,fnc,rge
7,3,Sat,2020-08-01,rge,sk
7,3,Sat,2020-08-01,msf,xl
7,3,Sat,2020-08-01,vit,mad
7,3,Sat,2020-08-01,og,s04
7,3,Sat,2020-08-01,g2,fnc
8,3,Fri,2020-08-07,vit,s04
8,3,Fri,2020-08-07,og,sk
8,3,Fri,2020-08-07,fnc,xl
8,3,Fri,2020-08-07,mad,rge
8,3,Fri,2020-08-07,msf,g2
8,3,Sat,2020-08-08,vit,rge
8,3,Sat,2020-08-08,msf,mad
8,3,Sat,2020-08-08,og,xl
8,3,Sat,2020-08-08,g2,sk
8,3,Sat,2020-08-08,fnc,s04
8,3,Sun,2020-08-09,vit,msf
8,3,Sun,2020-08-09,mad,s04
8,3,Sun,2020-08-09,rge,og
8,3,Sun,2020-08-09,fnc,sk
8,3,Sun,2020-08-09,g2,xl
