League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
6,6,2020/07/27,1,ucam,vgia,vgia,ucam,vgia,ucam,ucam,vgia,ucam
6,6,2020/07/27,1,mrs,bts,mrs,mrs,mrs,mrs,mrs,mrs,bts
6,6,2020/07/29,1,vgia,emz,emz,vgia,emz,vgia,vgia,vgia,emz
6,6,2020/07/29,1,bcn,madm,bcn,madm,madm,madm,madm,madm,bcn
6,6,2020/07/29,1,mrs,ucam,mrs,mrs,ucam,ucam,ucam,ucam,mrs
6,6,2020/07/29,1,ttq,bts,bts,bts,bts,ttq,bts,ttq,bts
6,6,2020/07/29,1,g2ar,s2v,g2ar,s2v,g2ar,g2ar,s2v,g2ar,s2v
6,6,2020/08/03,1,bcn,ttq,ttq,ttq,bcn,ttq,ttq,ttq,bcn
6,6,2020/08/03,1,emz,ucam,ucam,ucam,ucam,ucam,ucam,ucam,emz
6,6,2020/08/03,1,bts,g2ar,g2ar,g2ar,bts,g2ar,g2ar,g2ar,bts
6,6,2020/08/03,1,vgia,madm,vgia,vgia,vgia,vgia,vgia,vgia,madm
6,6,2020/08/03,1,mrs,s2v,mrs,mrs,mrs,mrs,mrs,mrs,s2v
6,6,2020/08/05,1,g2ar,emz,g2ar,g2ar,g2ar,g2ar,g2ar,g2ar,emz
6,6,2020/08/05,1,ucam,bcn,bcn,bcn,ucam,ucam,ucam,ucam,bcn
6,6,2020/08/05,1,madm,mrs,madm,madm,mrs,mrs,mrs,mrs,madm
6,6,2020/08/05,1,ttq,vgia,vgia,vgia,vgia,vgia,vgia,vgia,ttq
6,6,2020/08/05,1,s2v,bts,s2v,s2v,bts,s2v,,s2v,bts
6,6,2020/08/06,1,bcn,s2v,bcn,bcn,bcn,bcn,bcn,bcn,s2v
6,6,2020/08/06,1,madm,bts,bts,bts,madm,bts,bts,bts,madm
6,6,2020/08/06,1,ucam,ttq,ucam,ucam,ucam,ttq,ttq,ttq,ucam
6,6,2020/08/06,1,vgia,g2ar,g2ar,g2ar,g2ar,g2ar,g2ar,g2ar,vgia
6,6,2020/08/06,1,emz,mrs,mrs,mrs,emz,mrs,mrs,mrs,emz
6,6,2020/08/06,1,s2v,ttq,ttq,ttq,ttq,ttq,ttq,ttq,s2v
