League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
11,11,2020/07/17,1,100.a,tl.a,100.a,100.a,100.a,100.a,100.a,100.a,tl.a
11,11,2020/07/17,1,dig.a,gg.a,gg.a,dig.a,gg.a,gg.a,gg.a,gg.a,dig.a
11,11,2020/07/17,1,imt.a,clg.a,imt.a,imt.a,clg.a,clg.a,clg.a,clg.a,imt.a
11,11,2020/07/17,1,fly.a,tsm.a,tsm.a,fly.a,tsm.a,fly.a,tsm.a,fly.a,tsm.a
11,11,2020/07/23,1,100.a,clg.a,clg.a,100.a,clg.a,100.a,100.a,100.a,clg.a
11,11,2020/07/23,1,c9.a,tl.a,c9.a,c9.a,c9.a,c9.a,c9.a,c9.a,tl.a
11,11,2020/07/24,1,eg.a,imt.a,eg.a,eg.a,imt.a,eg.a,eg.a,eg.a,imt.a
11,11,2020/07/24,1,tsm.a,dig.a,dig.a,tsm.a,tsm.a,dig.a,dig.a,dig.a,tsm.a
11,11,2020/07/24,1,fly.a,gg.a,gg.a,gg.a,gg.a,gg.a,gg.a,gg.a,fly.a
11,11,2020/07/24,1,imt.a,c9.a,imt.a,c9.a,c9.a,c9.a,,c9.a,imt.a
11,11,2020/07/24,1,tsm.a,clg.a,clg.a,clg.a,clg.a,clg.a,clg.a,tsm.a,clg.a
11,11,2020/07/24,1,dig.a,eg.a,eg.a,eg.a,dig.a,dig.a,dig.a,dig.a,eg.a
11,11,2020/07/24,1,gg.a,100.a,gg.a,gg.a,gg.a,100.a,100.a,100.a,gg.a
11,11,2020/07/24,1,tl.a,fly.a,tl.a,tl.a,fly.a,fly.a,fly.a,fly.a,tl.a
11,11,2020/07/30,1,tl.a,dig.a,dig.a,tl.a,dig.a,tl.a,tl.a,tl.a,dig.a
11,11,2020/07/30,1,gg.a,clg.a,gg.a,gg.a,clg.a,,,gg.a,clg.a
11,11,2020/07/31,1,tsm.a,c9.a,c9.a,tsm.a,c9.a,c9.a,c9.a,c9.a,tsm.a
11,11,2020/07/31,1,imt.a,100.a,imt.a,100.a,imt.a,100.a,100.a,imt.a,100.a
11,11,2020/07/31,1,fly.a,eg.a,fly.a,fly.a,fly.a,eg.a,eg.a,eg.a,fly.a
11,11,2020/07/31,1,eg.a,tsm.a,tsm.a,eg.a,eg.a,tsm.a,eg.a,eg.a,tsm.a
11,11,2020/07/31,1,100.a,fly.a,100.a,100.a,100.a,100.a,100.a,100.a,fly.a
11,11,2020/07/31,1,c9.a,gg.a,c9.a,c9.a,c9.a,c9.a,c9.a,c9.a,gg.a
11,11,2020/07/31,1,clg.a,tl.a,clg.a,tl.a,clg.a,clg.a,tl.a,clg.a,tl.a
11,11,2020/07/31,1,dig.a,imt.a,dig.a,dig.a,dig.a,dig.a,,dig.a,imt.a
11,11,2020/08/06,1,dig.a,c9.a,dig.a,dig.a,dig.a,dig.a,dig.a,dig.a,c9.a
11,11,2020/08/06,1,tsm.a,gg.a,gg.a,tsm.a,gg.a,gg.a,tsm.a,tsm.a,gg.a
11,11,2020/08/06,1,imt.a,tl.a,imt.a,imt.a,imt.a,imt.a,imt.a,imt.a,tl.a
11,11,2020/08/06,1,eg.a,100.a,eg.a,eg.a,100.a,100.a,100.a,100.a,eg.a
11,11,2020/08/06,1,clg.a,fly.a,fly.a,fly.a,fly.a,clg.a,clg.a,clg.a,fly.a
11,11,2020/08/06,1,fly.a,imt.a,fly.a,imt.a,fly.a,fly.a,fly.a,fly.a,imt.a
11,11,2020/08/06,1,100.a,dig.a,dig.a,dig.a,dig.a,,100.a,100.a,dig.a
11,11,2020/08/07,1,gg.a,eg.a,-,-,-,-,-,-,-
11,11,2020/08/07,1,c9.a,clg.a,c9.a,c9.a,clg.a,clg.a,clg.a,c9.a,clg.a
11,11,2020/08/07,1,tl.a,tsm.a,tl.a,tsm.a,tsm.a,tsm.a,tsm.a,tsm.a,tl.a
